period,demand_mwh
2022-10-15 00:00:00+00:00,48454.041666666664
2022-10-16 00:00:00+00:00,47423.791666666664
2022-10-17 00:00:00+00:00,43755.208333333336
2022-10-18 00:00:00+00:00,38723.458333333336
2022-10-19 00:00:00+00:00,38542.875
2022-10-20 00:00:00+00:00,39556.208333333336
2022-10-21 00:00:00+00:00,41867.25
2022-10-22 00:00:00+00:00,43533.083333333336
2022-10-23 00:00:00+00:00,45085.958333333336
2022-10-24 00:00:00+00:00,47211.625
2022-10-25 00:00:00+00:00,41222.666666666664
2022-10-26 00:00:00+00:00,39353.166666666664
2022-10-27 00:00:00+00:00,39944.791666666664
2022-10-28 00:00:00+00:00,40738.791666666664
2022-10-29 00:00:00+00:00,37677.416666666664
2022-10-30 00:00:00+00:00,36951.375
2022-10-31 00:00:00+00:00,39547.375
2022-11-01 00:00:00+00:00,39733.666666666664
2022-11-02 00:00:00+00:00,40657.833333333336
2022-11-03 00:00:00+00:00,43888.5
2022-11-04 00:00:00+00:00,46784.166666666664
2022-11-05 00:00:00+00:00,40257.333333333336
2022-11-06 00:00:00+00:00,39734.166666666664
2022-11-07 00:00:00+00:00,45077.166666666664
2022-11-08 00:00:00+00:00,45554.166666666664
2022-11-09 00:00:00+00:00,45849.416666666664
2022-11-10 00:00:00+00:00,44718.666666666664
2022-11-11 00:00:00+00:00,43149.25
2022-11-12 00:00:00+00:00,41233.416666666664
2022-11-13 00:00:00+00:00,41966.541666666664
2022-11-14 00:00:00+00:00,43390.291666666664
2022-11-15 00:00:00+00:00,45520.625
2022-11-16 00:00:00+00:00,46061.75
2022-11-17 00:00:00+00:00,45338.833333333336
2022-11-18 00:00:00+00:00,44648.083333333336
2022-11-19 00:00:00+00:00,47060.708333333336
2022-11-20 00:00:00+00:00,48487.208333333336
2022-11-21 00:00:00+00:00,47447.25
2022-11-22 00:00:00+00:00,46287.916666666664
2022-11-23 00:00:00+00:00,42727.833333333336
2022-11-24 00:00:00+00:00,39850.208333333336
2022-11-25 00:00:00+00:00,38432.208333333336
2022-11-26 00:00:00+00:00,39242.208333333336
2022-11-27 00:00:00+00:00,40105.25
2022-11-28 00:00:00+00:00,41907.291666666664
2022-11-29 00:00:00+00:00,42080.291666666664
2022-11-30 00:00:00+00:00,43287.916666666664
2022-12-01 00:00:00+00:00,46228.25
2022-12-02 00:00:00+00:00,43705.25
2022-12-03 00:00:00+00:00,40587.916666666664
2022-12-04 00:00:00+00:00,40367.583333333336
2022-12-05 00:00:00+00:00,41929.708333333336
2022-12-06 00:00:00+00:00,42298.833333333336
2022-12-07 00:00:00+00:00,42700.291666666664
2022-12-08 00:00:00+00:00,43385.833333333336
2022-12-09 00:00:00+00:00,43103.041666666664
2022-12-10 00:00:00+00:00,41512.958333333336
2022-12-11 00:00:00+00:00,39994.25
2022-12-12 00:00:00+00:00,41548.541666666664
2022-12-13 00:00:00+00:00,43066.125
2022-12-14 00:00:00+00:00,41630.833333333336
2022-12-15 00:00:00+00:00,43663.583333333336
2022-12-16 00:00:00+00:00,45358.875
2022-12-17 00:00:00+00:00,45307.583333333336
2022-12-18 00:00:00+00:00,46717.916666666664
2022-12-19 00:00:00+00:00,46252.458333333336
2022-12-20 00:00:00+00:00,46556.208333333336
2022-12-21 00:00:00+00:00,48746.125
2022-12-22 00:00:00+00:00,51687.208333333336
2022-12-23 00:00:00+00:00,70280.29166666667
2022-12-24 00:00:00+00:00,61863.5
2022-12-25 00:00:00+00:00,53841.375
2022-12-26 00:00:00+00:00,48401.125
2022-12-27 00:00:00+00:00,48865.166666666664
2022-12-28 00:00:00+00:00,46027.958333333336
2022-12-29 00:00:00+00:00,39129.416666666664
